,index,areaWithType,square_feet,transaction,status,furnishing,facing,price_per_sqft,price,current_floor,total_floor,BHK,area
0,0,1,644,1,Poss. by Oct '24,1,4,2891,1861804,5.0,10,2,Dindoli
1,1,2,1278,1,Poss. by Jan '26,1,8,3551,4538178,6.0,14,2,Althan
2,2,2,1173,2,Ready to Move,2,3,3800,4457400,5.0,13,2,Pal
3,3,1,700,1,Ready to Move,1,3,3966,2776200,6.0,14,2,Jahangirabad
4,9,1,720,1,Poss. by Dec '25,1,3,3200,2304000,3.0,14,2,Palanpur
5,10,1,748,1,Poss. by Dec '25,1,3,3235,2419780,6.0,13,2,Jahangirabad
6,11,1,480,2,Ready to Move,1,3,2315,1111200,1.0,1,1,in
7,12,1,1650,2,Ready to Move,1,3,3125,5156250,7.0,10,2,NavYug
8,13,2,847,2,Ready to Move,3,3,5903,4999841,1.0,13,2,Adajan
9,14,2,1511,1,Poss. by Feb '26,1,5,2368,3578048,5.0,13,3,Dindoli
10,18,1,1000,1,Ready to Move,3,3,3185,3185000,3.0,5,3,Mota
11,19,1,731,2,Ready to Move,1,3,2736,2000016,2.0,5,1,Ramnagar
12,21,1,950,2,Ready to Move,1,4,2829,2687550,5.0,5,2,in
13,23,1,432,1,Ready to Move,1,4,3009,1299888,,1,1,in
14,25,1,910,2,Ready to Move,1,3,2857,2599870,1.0,5,3,Jahangirabad
15,27,2,1250,1,Ready to Move,1,8,3325,4156250,7.0,14,2,Palanpur
16,29,2,1105,2,Ready to Move,1,8,3842,4245410,9.0,14,2,Shivalik
17,30,2,1305,1,Poss. by Dec '26,1,3,3678,4799790,5.0,12,2,Althan
18,31,2,1290,2,Ready to Move,3,3,3488,4499520,5.0,13,2,Palanpur
19,32,2,975,1,Poss. by Apr '25,1,7,3282,3199950,6.0,13,2,Bamroli
20,33,2,1250,1,Ready to Move,1,3,2800,3500000,7.0,14,2,Jahangirabad
21,34,1,725,1,Poss. by Jan '25,1,8,3500,2537500,7.0,14,2,Godadara
22,35,2,1558,2,Ready to Move,1,5,3017,4700486,1.0,5,3,Palanpur
23,36,1,727,1,Ready to Move,1,3,3075,2235525,7.0,13,2,Jahangirabad
24,42,2,1326,2,Ready to Move,1,3,3771,5000346,9.0,14,2,Palanpur
25,44,2,1178,2,Ready to Move,1,3,3099,3650622,10.0,14,2,Jahangirabad
26,45,2,1900,2,Ready to Move,1,8,2632,5000800,7.0,14,3,Jahangir
27,49,1,680,1,Poss. by Jan '26,1,3,3747,2547960,6.0,14,2,Bamroli
28,50,1,721,2,Ready to Move,2,3,2936,2116856,3.0,5,2,Jahangirabad
29,52,1,545,2,Poss. by Dec '24,1,3,3451,1880795,13.0,14,2,Swagat
30,53,2,813,1,Poss. by Aug '25,1,3,3507,2851191,4.0,14,1,Palanpur
31,54,2,990,1,Poss. by Jul '24,1,3,2828,2799720,5.0,13,1,Palanpur
32,55,1,500,2,Ready to Move,3,3,3636,1818000,5.0,12,1,Jahangir
33,56,1,42,2,Ready to Move,1,3,1951,81942,,1,2,in
34,57,2,970,2,Ready to Move,2,3,3093,3000210,6.0,10,2,Adajan
35,59,1,750,2,Ready to Move,1,3,3304,2478000,3.0,5,2,Palanpur
36,61,2,1000,2,Ready to Move,3,3,3951,3951000,2.0,4,2,Adajan
37,62,2,813,1,Poss. by Feb '25,1,3,3567,2899971,7.0,14,1,Bhesan
38,63,2,550,2,Ready to Move,1,3,3636,1999800,5.0,5,1,Katar
39,69,2,1267,2,Ready to Move,3,6,3946,4999582,2.0,4,2,in
40,73,1,432,1,Ready to Move,1,3,2315,1000080,,1,1,in
41,76,1,441,2,Ready to Move,1,2,3509,1547469,3.0,5,1,Palanpur
42,83,1,605,2,Ready to Move,1,3,2686,1625030,2.0,5,1,Ram
43,93,2,1193,2,Ready to Move,2,3,3269,3899917,4.0,10,2,Nana
44,99,1,1446,2,Ready to Move,2,5,4006,5792676,4.0,4,2,L
45,100,1,950,2,Ready to Move,2,5,3043,2890850,2.0,4,2,Honey
46,102,1,750,2,Ready to Move,2,3,3333,2499750,5.0,6,2,503RIDDHI
47,104,2,1100,2,Ready to Move,1,3,3455,3800500,3.0,5,2,Rander
48,107,1,734,2,Ready to Move,3,3,2749,2017766,2.0,5,2,in
49,110,2,550,2,Ready to Move,2,5,2318,1274900,4.0,4,1,Udhna
50,112,1,800,2,Ready to Move,2,3,2500,2000000,1.0,4,2,vraj
51,119,1,945,2,Ready to Move,1,2,2787,2633715,4.0,4,2,Rustampura
52,122,1,1200,2,Ready to Move,1,4,2160,2592000,,3,3,in
53,123,2,1200,2,Ready to Move,1,3,2917,3500400,3.0,5,2,in
54,126,1,580,2,Ready to Move,3,3,2436,1412880,1.0,5,2,Amroli
55,129,2,861,2,Ready to Move,1,3,1220,1050420,4.0,4,2,in
56,139,2,1170,1,Ready to Move,1,8,3248,3800160,4.0,4,2,in
57,168,2,1200,2,Ready to Move,1,3,3917,4700400,2.0,7,2,Umra
58,178,1,3,2,Ready to Move,1,3,3429,10287,2.0,7,1,suman
59,200,2,1200,2,Ready to Move,1,1,3750,4500000,4.0,8,2,Palanpur
60,206,1,660,2,Ready to Move,3,3,3932,2595120,4.0,5,2,Rajhans
61,211,2,990,2,Ready to Move,1,1,3838,3799620,1.0,6,2,Varachha
62,212,2,1161,2,Ready to Move,2,3,4005,4649805,1.0,1,2,Surat
63,217,1,1000,2,Ready to Move,1,8,3529,3529000,3.0,5,2,Pal
64,221,2,1252,2,Ready to Move,1,3,3594,4499688,5.0,14,2,Swagat
65,223,2,1000,2,Ready to Move,3,3,2500,2500000,3.0,5,2,in
66,225,2,504,2,Ready to Move,1,4,3968,1999872,,1,1,in
67,227,1,800,2,Ready to Move,3,3,4167,3333600,5.0,7,2,Piplod
68,229,2,1050,2,Ready to Move,1,3,3714,3899700,8.0,12,2,Sangini
69,231,2,671,2,Ready to Move,2,3,2683,1800293,2.0,5,1,Vadod
70,232,2,1360,2,Ready to Move,2,3,2647,3599920,2.0,2,4,Udhna
71,233,2,1241,1,Poss. by Jul '24,1,3,3626,4499866,7.0,12,2,Althan
72,236,2,1384,1,Ready to Move,1,3,3505,4850920,7.0,13,3,Penttagon
73,237,1,546,2,Ready to Move,2,3,2597,1417962,2.0,5,1,Regent
